"Region","hilo","Species","Neighborhood","tree.uniqueID","hegyi","DBH","drought_fx","post1_fx","spei12","legacy_mean","scaled_leg","scaled_dfx","scaled_spei","rel_dfx","rel_leg","Region1"
"Mammoth","high","AC",3,"10ac3_2",2.05100284646195,101.5,0.178310751133545,0.17769297723885,-1.55800001696652,0.111042820375829,0.652454978981967,0.641821566666518,0.23539162458269,2.72661173822289,1.01656755221031,"lat4"
"Mammoth","high","AC",3,"10ac3_3",1.3707866256462,90,0.0517980007157262,0.0912935926470521,-1.55800001696652,0.0686218009167051,0.587548288121462,0.473864391492188,0.23539162458269,2.01308943057031,1.23990808060358,"lat4"
"Mammoth","high","AC",3,"10ac3_4",20.9443226954211,7.8,0.287221224169797,0.162856383068869,-1.55610147808595,0.0749819279039798,0.597279661894654,0.786410118710933,0.229179975593346,3.43140851060361,0.75950149633591,"lat4"
"Mammoth","high","AC",3,"10ac3_5",3.73137215264852,27.9,0.0821283148234063,0.0619597048767416,-1.53794844435088,-0.0225505951544376,0.448049082250104,0.514130640252507,0.169786789176164,3.02809566484625,0.871469325442366,"lat4"
"Mammoth","high","PJ",1,"10pj1_1",3.57751545023556,42.5,0.244686036003067,0.163597148855484,-1.55800008210388,0.099514035638394,0.634815250458445,0.729940790312028,0.235391837699437,3.1009604982313,0.869680471188739,"lat4"
"Mammoth","high","PJ",1,"10pj1_2",1.29783707945945,121.7,0.236115367337515,0.257352508149972,-1.55800008210388,0.200126322408917,0.788758052339371,0.718562448653443,0.235391837699437,3.0526226213967,1.09768893965649,"lat4"
"Mammoth","high","PJ",1,"10pj1_3",5.77054819024354,23.5,0.318642458210154,0.2000095100351,-1.55800008210388,0.133361357373681,0.686603672244141,0.828124662837756,0.235391837699437,3.51806872715424,0.829106658762387,"lat4"
"Mammoth","high","PJ",2,"10pj2_1",16.4324686763836,23.2,0.181556290075692,0.0135636329373272,-1.56300499264766,0.0224241264246364,0.516863089723053,0.646130314605686,0.251766929007383,2.5663827936144,0.799936294644338,"lat4"
"Mammoth","high","PJ",2,"10pj2_2",2.50173018149633,107.8,0.0843883825005751,0.00551187066469506,-1.5548070787809,-0.0253859384951875,0.443710837765462,0.51713108551598,0.224944953483803,2.29892281425738,0.858023913458497,"lat4"
"Mammoth","high","PJ",2,"10pj2_3",1.72038483146289,139.3,0.146392227203935,0.218763085495082,-1.52204715645958,0.223189634746537,0.824046296309076,0.599446825012047,0.117760876054206,5.09037334892209,1.37467788955678,"lat4"
"Mammoth","high","PJ",2,"10pj2_4",10.6733551557406,15.9,0.369254060620804,0.262225558948172,-1.5548070787809,0.197911130923253,0.785368677194926,0.895316165226766,0.224944953483803,3.98015670661059,0.877197025696511,"lat4"
"Mammoth","high","PJ",2,"10pj2_5",4.54919431472731,35.2,-0.115398906243535,-0.0587426604907869,-1.5548070787809,-0.13209585583564,0.280438297291964,0.251895300645455,0.224944953483803,1.11980863204203,1.11331293824605,"lat4"
"Mammoth","high","PJ",3,"10pj3_1",2.53610879353163,105.5,0.286804934535361,0.202307166393526,-1.55800001696652,0.152611506583018,0.716057549111787,0.785857456383829,0.23539162458269,3.3385106958543,0.911179938925272,"lat4"
"Mammoth","high","PJ",3,"10pj3_2",2.04560266493528,116.7,0.276643524900819,0.249701035654638,-1.55800001696652,0.204039291393907,0.794745128357199,0.77236726150331,0.23539162458269,3.28120111695812,1.02897309087174,"lat4"
"Mammoth","high","PJ",3,"10pj3_3",6.78565444346434,30.7,0.247585606959445,0.157181714531961,-1.55800001696652,0.0968192890008007,0.63069212731846,0.733790234304372,0.23539162458269,3.11731666581281,0.859499210856018,"lat4"
"Mammoth","high","PJ",3,"10pj3_4",0.443930092530472,141.8,0.208953167430137,0.250720601055125,-1.55800001696652,0.195341674107821,0.781437254958377,0.682502159450204,0.23539162458269,2.89943263979832,1.14495938824263,"lat4"
