"event","spei12","spei_post","tree.uniqueID","Year","year_post","pred_mean","pred_50","pred_025","pred_975","Site","Species","Neighborhood","Region","hilo","hegyi","DBH","reduction","post1","post2","drought_fx","legacy_mean","legacy_50","legacy_025","legacy_975","scaled_leg","scaled_dfx","scaled_spei","Region1","rel_dfx","rel_leg"
"post1",-2.14811630172168,0.366441709707196,NA,1924,1925,1.01667132128585,1.01670980816142,1.0046593813203,1.02794539746685,NA,NA,3,NA,NA,2.61633781177947,77.1,NA,0.883915319403451,1.17364833659581,0.109509487232455,0.132756001882395,0.132794488757964,0.120744061916855,0.1440300780634,0.695267346860725,0.734098544123059,0.842582689826844,NA,0.871248072131556,0.945557568680857
"post1",-2.05497566212573,-0.713672951800372,NA,2015,2016,0.990248194657016,0.99031151959303,0.974073609244644,1.00634277894862,NA,NA,3,NA,NA,1.78672515013006,84.35,NA,1.2210637937054,0.883153623442621,-0.400538951171346,-0.230815599048389,-0.230752274112375,-0.24699018446076,-0.214721014756792,0.560550337367455,0.566960475681642,0.765097345014439,NA,0.741030509877069,0.987159536389175
"post1",-2.05497566212573,NA,NA,2015,2016,NA,NA,NA,NA,NA,NA,3,NA,NA,8.24794195634244,39.2,NA,NA,NA,-0.246853036708425,NA,NA,NA,NA,NA,0.617321902079441,0.765097345014439,NA,0.806854063867899,NA
"post1",-2.0419647521019,-0.660918917191946,NA,2015,2016,0.986807105057335,0.986765787831156,0.970521123823715,1.00220977970659,NA,NA,1,NA,NA,2.37633845595602,50.5333333333333,NA,1.24802113463674,NA,-0.22263040651651,-0.261214029579405,-0.261255346805584,-0.277500010813025,-0.245811354930151,0.54928657076978,0.625259429808214,0.754273338931884,NA,0.828956026330766,0.88076941838481
"post1",-2.0419647521019,NA,NA,2015,2016,NA,NA,NA,NA,NA,NA,1,NA,NA,31.0332288673306,24.0666666666667,NA,NA,NA,-0.233225009308341,NA,NA,NA,NA,NA,0.621787678277963,0.754273338931884,NA,0.824353249921928,NA
"post1",-2.04008297930147,-0.654969942799583,NA,2015,2016,0.985034766534141,0.984998726264362,0.968732256214454,1.00037004147269,NA,NA,2,NA,NA,5.22950783563988,50.525,NA,1.19868925054438,1.02415955168762,-0.0874236024146128,-0.213654484010243,-0.213690524280022,-0.22995699432993,-0.198319209071693,0.566909178628957,0.669565425819984,0.752707858869342,NA,0.889542228010947,0.84676595529519
"post1",-2.04008297930147,NA,NA,2015,2016,NA,NA,NA,NA,NA,NA,2,NA,NA,5.95288009488247,67.68,NA,NA,NA,0.0557851048896276,NA,NA,NA,NA,NA,0.71649357013061,0.752707858869342,NA,0.95188798906241,NA
"post1",-2.01265269315848,1.85166921015047,NA,1977,1978,1.01999431332821,1.02001565588129,0.985107602029375,1.05521416021548,NA,NA,2,NA,NA,4.9856235320147,68.9666666666667,NA,0.896874091129443,0.951894261677189,0.125042880140757,0.123120222198766,0.123141564751852,0.0882335108999324,0.158340069086041,0.691696926564444,0.739188690649456,0.729888118857755,NA,1.01274246223689,0.936770069679701
"post1",-2.00990988255367,-0.816092084488121,NA,1959,1960,0.928653989150844,0.9287810906149,0.910226272448994,0.946471325483238,NA,NA,2,NA,NA,8.17381085565488,42.3,NA,1.07331245902541,0.862172280200204,-0.419752140330584,-0.144658469874565,-0.144531368410509,-0.163086186576415,-0.126841133542171,0.592474807703169,0.5606644945887,0.727606326222544,NA,0.770560225196855,1.06251470071678
"post1",-2.00501136569158,1.84178944957752,NA,1977,1978,1.01190566651955,1.01204596511303,0.978183587847707,1.04573500429422,NA,NA,1,NA,NA,23.0038631365908,35.7625,NA,0.861952965028625,0.82931223961731,0.212543846781127,0.149952701490924,0.150093000084407,0.116230622819082,0.183782039265593,0.701639373549509,0.767861933129713,0.723531163438876,NA,1.06127002115588,0.913257457675368
"post1",-2.00313893222398,0.541503347371876,NA,1924,1925,1.03301433702744,1.03295164518124,1.01850282566802,1.04771471796586,NA,NA,1,NA,NA,0.753754446241606,77.05,NA,0.916262991551011,0.831233213240201,0.36370908036881,0.116751345476433,0.116688653630225,0.102239834117011,0.131451726414848,0.689337017199501,0.817397356150337,0.721973452932435,NA,1.13217093070433,0.842075829588381
"post1",-2.00313887878838,0.541503367112365,NA,1924,1925,1.04594569537094,1.04588213400599,1.03182254635445,1.0602203524057,NA,NA,3,NA,NA,1.66870780458073,76.05,NA,1.10365537432555,0.895601372463074,0.161095187763129,-0.0577096789545998,-0.0577732403195564,-0.0718328279710999,-0.0434350219198518,0.624692618615258,0.75100269223275,0.721973408478415,NA,1.04020824508691,0.832899555858407
"post1",-1.99996133334643,-0.057156748843635,NA,2015,2016,0.992453238244767,0.992107815269483,0.982663612658849,1.00454052443627,NA,NA,2,NA,NA,6.28425995426818,43.85,NA,1.00990038894824,NA,0.0862103454138827,-0.0174471507034776,-0.0177925736787609,-0.0272367762893943,-0.00535986451197603,0.639611405964829,0.726463634834668,0.719329952246047,NA,1.00991712157452,1.00214414056974
"post1",-1.99996133334643,NA,NA,2015,2016,NA,NA,NA,NA,NA,NA,2,NA,NA,11.1304084049488,45,NA,NA,NA,0.215009426088825,NA,NA,NA,NA,NA,0.76866988024228,0.719329952246047,NA,1.06859151053306,NA
"post1",-1.99606443256727,1.85287833994927,NA,1977,1978,1.013645844071,1.01368256642504,0.979983202752627,1.04675414925071,NA,NA,3,NA,NA,4.26354475661813,63.45,NA,0.876028629059354,1.02785605303114,0.0679645808619209,0.137617215011649,0.13765393736569,0.103954573693273,0.170725520191359,0.697068609923092,0.720484669672074,0.716088051590407,NA,1.00613977299566,0.967692547892765
"post1",-1.97770266822537,1.80514112110741,NA,1977,1978,1.12415763611338,1.12392510577159,1.08979467076162,1.15854433967872,NA,NA,3,NA,NA,3.60889612154073,48.4428571428571,NA,0.989301418027368,0.976686473302341,0.271804144514785,0.134856218086016,0.134623687744227,0.100493252734254,0.169242921651348,0.696045556284994,0.787280974445599,0.700812575197198,NA,1.12338305890711,0.884317242530381
"post1",-1.97770255589141,1.80514114784321,NA,1977,1978,1.14234547739939,1.14228625365883,1.10771471512704,1.17702022977404,NA,NA,1,NA,NA,1.00891966677191,60.36,NA,1.00893303071417,1.03107826199114,0.00475198881986991,0.133412446685224,0.133353222944669,0.0987816844128792,0.168087199059873,0.695510584452737,0.699770498743235,0.700812481744591,NA,0.99851317859128,0.999720053791961
"post1",-1.97231548378747,1.81246341812094,NA,1977,1978,1.14503632480923,1.14500127924997,1.11029549875516,1.17958463160379,NA,NA,2,NA,NA,8.61839698754073,38.1125,NA,1.08655215031949,0.966106328389351,0.328005135273293,0.058484174489743,0.058449128930478,0.0237433484356679,0.0930324812843005,0.667746829718234,0.805697509685404,0.69633088121754,NA,1.15706129286789,0.832365682704994
"post1",-1.97144977485952,1.81179155100725,NA,1977,1978,1.03435425818848,1.03422491131002,1.0037624823951,1.06509133340503,NA,NA,3,NA,NA,2.81910599445421,57.12,NA,0.948738261927145,0.903361500615506,0.217484234403449,0.0856159962613331,0.0854866493828768,0.05502422046795,0.116353071477888,0.677800194397476,0.769480851613477,0.695610682654589,NA,1.10619470172164,0.878237111061197
"post1",-1.9687080185609,-0.585795135213908,NA,2015,2016,0.981989946686006,0.982170497721225,0.968004520263049,0.995571636728222,NA,NA,1,NA,NA,1.55502903983407,62.86,NA,1.1809013831321,0.993471088794257,-0.127666697473319,-0.198911436446095,-0.198730885410875,-0.212896862869052,-0.185329746403877,0.572372034565929,0.656378142672395,0.693329767115338,NA,0.946704113690829,0.862023220434521
"post1",-1.9687080185609,NA,NA,2015,2016,NA,NA,NA,NA,NA,NA,1,NA,NA,1.60669637562999,88.9,NA,NA,NA,-0.301917708178987,NA,NA,NA,NA,NA,0.599277727965796,0.693329767115338,NA,0.864347322716499,NA
